Arm,Reward,Regret,Algorithm
3,5.124691806197695,0,Epsilon-Greedy
3,2.9236308998916307,0,Epsilon-Greedy
3,4.970426731477203,0,Epsilon-Greedy
3,4.227500093728092,0,Epsilon-Greedy
3,4.684023465329151,0,Epsilon-Greedy
3,1.9988559386545388,0,Epsilon-Greedy
3,5.157581116120474,0,Epsilon-Greedy
3,4.527227914423051,0,Epsilon-Greedy
3,5.666943777491301,0,Epsilon-Greedy
3,3.7795988002318213,0,Epsilon-Greedy
3,4.90581553002831,0,Epsilon-Greedy
3,3.9883054711566106,0,Epsilon-Greedy
3,2.41305815434925,0,Epsilon-Greedy
3,4.241541628010507,0,Epsilon-Greedy
3,3.711929715337065,0,Epsilon-Greedy
3,5.081635586122608,0,Epsilon-Greedy
1,0.5607064734190206,2,Epsilon-Greedy
3,4.423899537088558,0,Epsilon-Greedy
3,4.849527694575183,0,Epsilon-Greedy
3,4.168794290589984,0,Epsilon-Greedy
3,5.929304806481278,0,Epsilon-Greedy
3,2.2294589464237387,0,Epsilon-Greedy
3,2.603812721627902,0,Epsilon-Greedy
3,3.8192695238166916,0,Epsilon-Greedy
3,3.639854707203391,0,Epsilon-Greedy
3,4.201113406343275,0,Epsilon-Greedy
3,4.028202130782785,0,Epsilon-Greedy
3,5.833196107623052,0,Epsilon-Greedy
3,3.860154137716359,0,Epsilon-Greedy
3,3.729046748681121,0,Epsilon-Greedy
3,4.365347533785697,0,Epsilon-Greedy
3,3.259728403304192,0,Epsilon-Greedy
3,4.605623625691932,0,Epsilon-Greedy
3,3.898711764419764,0,Epsilon-Greedy
3,3.2368014193647174,0,Epsilon-Greedy
3,3.773695333699848,0,Epsilon-Greedy
3,5.181114554324801,0,Epsilon-Greedy
3,4.183507574488651,0,Epsilon-Greedy
3,4.303900031756548,0,Epsilon-Greedy
3,2.6775929067251,0,Epsilon-Greedy
3,4.334457198226466,0,Epsilon-Greedy
3,3.7115688541356344,0,Epsilon-Greedy
3,3.927112854357032,0,Epsilon-Greedy
3,3.799364177250783,0,Epsilon-Greedy
3,3.34105428629232,0,Epsilon-Greedy
3,3.9716637978739002,0,Epsilon-Greedy
3,4.274582732086975,0,Epsilon-Greedy
3,4.261855318691224,0,Epsilon-Greedy
